Major,Math,Creativity,Problem_Solving,Communication_Skills,Technology_Interest,Leadership,Analytical_Thinking,Attention_to_Details,Biology_Interest,Fitness_Interest,Teamwork,Stress_Tolerance,Ethics,Patience,Empathy,Spatial_Thinking,Research_Drive,Persuasion,Social_Interest,Risk_Taking,Aesthetic_Sensitivity
"Computer Science / IT",0.70,0.55,0.90,0.45,1.00,0.65,0.85,0.80,0.10,0.10,0.55,0.75,0.75,0.75,0.20,0.40,0.70,0.20,0.25,0.40,0.35
"Cybersecurity",0.65,0.40,0.95,0.40,1.00,0.50,0.95,1.00,0.10,0.10,0.50,0.90,0.95,0.75,0.20,0.40,0.85,0.35,0.20,0.65,0.20
"Software Engineering",0.80,0.60,0.90,0.50,1.00,0.50,0.90,0.80,0.10,0.10,0.60,0.70,0.70,0.80,0.20,0.40,0.75,0.30,0.25,0.45,0.35
"Graphic Design",0.20,1.00,0.60,0.70,0.65,0.30,0.60,0.85,0.10,0.10,0.55,0.50,0.55,0.70,0.25,0.85,0.40,0.50,0.30,0.45,1.00
"Animation & VFX",0.30,0.95,0.60,0.50,0.85,0.30,0.50,0.90,0.10,0.10,0.65,0.55,0.55,0.80,0.35,0.85,0.50,0.40,0.30,0.50,0.95
"Business Administration",0.60,0.65,0.80,0.95,0.55,0.95,0.85,0.55,0.10,0.20,0.90,0.70,0.60,0.50,0.40,0.30,0.60,0.80,0.65,0.75,0.35
"Law",0.30,0.65,0.85,1.00,0.20,0.70,0.95,1.00,0.40,0.20,0.70,0.85,1.00,0.85,0.65,0.20,0.85,0.95,0.70,0.40,0.25
"Medicine",0.40,0.30,0.80,0.85,0.50,0.75,0.90,0.85,1.00,0.50,0.65,0.85,0.95,1.00,0.85,0.30,1.00,0.65,0.70,0.60,0.20
"Medicine (Dermatology Path)",0.40,0.60,0.85,0.85,0.55,0.65,0.85,0.95,0.75,0.30,0.60,0.75,0.90,0.90,0.80,0.70,0.90,0.75,0.60,0.40,0.90
"Medicine (Neurology Path)",0.60,0.40,1.00,0.80,0.60,0.70,1.00,1.00,1.00,0.20,0.60,0.95,0.95,1.00,0.75,0.50,1.00,0.50,0.60,0.65,0.15
"Nursing",0.40,0.40,0.70,0.90,0.40,0.50,0.70,0.70,0.85,0.60,0.90,1.00,0.95,1.00,0.95,0.20,0.65,0.40,0.60,0.30,0.20
"Pharmacy",0.70,0.30,0.70,0.70,0.60,0.40,0.85,0.85,0.95,0.30,0.60,0.75,0.65,0.70,0.65,0.20,1.00,0.45,0.40,0.25,0.15
"Civil Engineering",0.90,0.50,0.90,0.60,0.60,0.60,0.90,0.95,0.10,0.30,0.70,0.90,0.60,0.80,0.20,0.80,0.75,0.35,0.25,0.45,0.40
"Mechanical Engineering",0.90,0.60,0.90,0.50,0.75,0.50,0.90,0.90,0.10,0.30,0.60,0.70,0.50,0.80,0.20,0.85,0.70,0.30,0.20,0.50,0.35
"Electrical Engineering",1.00,0.40,0.90,0.50,0.90,0.50,1.00,0.90,0.10,0.20,0.50,0.70,0.50,0.80,0.20,0.50,0.70,0.25,0.20,0.40,0.20
"Architecture",0.70,0.85,0.80,0.60,0.60,0.50,0.85,1.00,0.10,0.30,0.60,0.90,0.50,0.90,0.30,1.00,0.60,0.45,0.35,0.55,0.95
"Chemistry",0.80,0.40,0.80,0.50,0.60,0.30,0.90,1.00,0.65,0.20,0.50,0.70,0.80,0.90,0.50,0.40,0.90,0.20,0.50,0.35,0.20
"Sports Science",0.30,0.50,0.50,0.85,0.40,0.60,0.60,0.60,0.70,1.00,0.80,0.55,0.55,0.70,0.40,0.30,0.55,0.50,0.55,0.65,0.25
"Education / Teaching",0.50,0.60,0.75,1.00,0.70,0.75,0.65,0.65,0.30,0.20,0.90,0.85,0.85,1.00,0.85,0.40,0.75,0.70,0.80,0.25,0.70
"Police Studies",0.30,0.30,0.85,0.75,0.55,0.70,0.90,0.85,0.20,0.70,0.75,1.00,1.00,0.65,0.50,0.30,0.75,0.60,0.65,0.70,0.15
"Psychology",0.35,0.55,0.75,0.65,0.30,0.50,0.95,0.75,0.50,0.10,0.45,0.85,0.95,1.00,1.00,0.20,0.85,0.55,1.00,0.30,0.30
"Interior Design",0.35,1.00,0.65,0.75,0.60,0.40,0.65,0.90,0.10,0.10,0.65,0.70,0.45,0.65,0.30,1.00,0.55,0.55,0.35,0.45,1.00
"Finance",0.90,0.35,0.75,0.75,0.65,0.65,0.90,0.95,0.10,0.10,0.60,0.75,0.80,0.70,0.20,0.30,0.80,0.65,0.20,0.70,0.20
"Accounting",0.90,0.25,0.70,0.65,0.65,0.50,0.90,1.00,0.10,0.10,0.55,0.70,0.90,0.75,0.20,0.25,0.80,0.40,0.35,0.20,0.15
"Banking",0.85,0.40,0.75,0.85,0.75,0.75,0.85,0.90,0.10,0.10,0.70,0.75,0.85,0.65,0.35,0.25,0.75,0.75,0.55,0.65,0.20
"Economics",0.85,0.50,0.85,0.75,0.55,0.60,0.95,0.80,0.10,0.10,0.55,0.65,0.75,0.75,0.30,0.25,0.90,0.60,0.85,0.75,0.20
